Movie Title,Genre,Runtime (min),Box Office ($),Metacritic Rating,IMDb Rating,Release Year
Drillbit Taylor,"Action, Comedy, Crime",110 min,"$32,862,104",41,5.7,2008
The White Dove,"Crime, Drama",50 min,N/A,N/A,5.6,1920
The Endless Summer,"Documentary, Sport",95 min,"$10,233",82,7.6,1966
The Mugger,"Crime, Drama, Thriller",74 min,N/A,N/A,5.9,1958
Mulholland Drive,"Drama, Mystery, Thriller",147 min,"$7,220,243",86,7.9,2001
Life Itself,"Drama, Romance",117 min,"$4,102,648",21,6.9,2018
Sharky's Machine,"Action, Crime, Drama",122 min,"$35,610,100",58,6.3,1981
American Graffiti,"Comedy, Drama",110 min,"$115,000,000",97,7.4,1973
Savage Mutiny,"Adventure, Family",73 min,N/A,N/A,5.6,1953
The Librarian: Return to King Solomon's Mines,"Action, Adventure, Comedy",92 min,N/A,N/A,6.1,2006
The Escape on the Fast Freight,"Short, Thriller",13 min,N/A,N/A,6.6,1915
The Big Bounce,"Comedy, Crime",88 min,"$6,489,476",42,4.9,2004
Mantrap,Comedy,71 min,N/A,N/A,6.8,1926
Hit and Run,"Action, Adventure, Comedy",100 min,"$13,749,300",50,6.1,2012
Persepolis,"Animation, Biography, Drama",96 min,"$4,445,756",90,8.0,2007
A Race for a Kiss,"Short, Comedy",3 min,N/A,N/A,5.0,1904
Easy Street,"Short, Comedy",24 min,N/A,N/A,7.4,1917
A Wife's Romance,Drama,N/A,N/A,N/A,N/A,1923
Son of the Pink Panther,"Comedy, Crime",93 min,"$2,438,031",33,3.9,1993
Friends of Mr. Sweeney,"Comedy, Drama, Romance",68 min,N/A,N/A,6.1,1934
Rustlers' Rhapsody,"Comedy, Western",88 min,"$6,090,497",N/A,6.4,1985
The Diary of a Chambermaid,"Drama, Romance",86 min,N/A,N/A,6.6,1946
The Shriek of Araby,Comedy,50 min,N/A,N/A,5.7,1923
The Stars Are Singing,Musical,99 min,N/A,N/A,6.3,1953
Hold That Lion!,"Comedy, Short",17 min,N/A,N/A,7.8,1947
Hold That Kiss,"Comedy, Romance",79 min,N/A,N/A,6.1,1938
Addicted to Love,"Comedy, Romance",100 min,"$34,673,095",49,6.1,1997
Transylvania 6-5000,"Comedy, Fantasy, Horror",93 min,"$7,196,872",10,4.9,1985
The Men in Her Life,"Drama, Music, Romance",89 min,N/A,N/A,6.1,1941
Savage Drums,"Adventure, Drama, Fantasy",73 min,N/A,N/A,6.1,1951
A Private Matter,Drama,88 min,N/A,N/A,6.2,1992
Big Hero 6,"Animation, Action, Adventure",102 min,"$222,527,828",74,7.8,2014
Love by the Light of the Moon,"Comedy, Fantasy, Romance",1 min,N/A,N/A,5.1,1901
The Reader,"Drama, Mystery, Romance",124 min,"$34,194,407",58,7.6,2008
Battle of the Bulge,"Drama, History, War",167 min,"$11,118,000",N/A,6.8,1965
Gretchen the Greenhorn,"Crime, Drama, Romance",58 min,N/A,N/A,6.4,1916
The Benchwarmers,"Comedy, Sport",85 min,"$59,843,754",25,5.5,2006
I Saw the Light,"Biography, Drama, Music",123 min,"$1,646,788",47,5.8,2015
I Am Number Four,"Action, Adventure, Sci-Fi",111 min,"$55,100,437",36,6.1,2011
The Witching Hour,"Drama, Romance",105 min,N/A,N/A,6.4,1985
Cohen's Dream,"Short, Comedy",N/A,N/A,N/A,N/A,1909
Tiger Fangs,"Action, Adventure, Mystery",59 min,N/A,N/A,4.7,1943
Trojan War,"Comedy, Romance",85 min,$309,N/A,5.6,1997
Rime of the Ancient Mariner,"Animation, Short",42 min,N/A,N/A,7.1,1977
The Lion and the Horse,"Drama, Western",83 min,N/A,N/A,6.2,1952
Glitter,"Drama, Music, Romance",104 min,"$4,274,407",14,2.4,2001
Year One,Comedy,97 min,"$43,337,279",34,4.9,2009
Cain's Cutthroats,"Action, Comedy, Drama",95 min,N/A,N/A,5.1,1970
Wild Horse Stampede,"Drama, Western",59 min,N/A,N/A,6.3,1943
Twenty Dollars a Week,"Comedy, Drama",70 min,N/A,N/A,6.1,1924
Cat-Tails for Two,"Family, Animation, Short",6 min,N/A,N/A,6.9,1953
He Knows You're Alone,"Horror, Thriller",94 min,"$4,875,436",N/A,5.0,1980
Robotech: Love Live Alive,"Animation, Action, Adventure, Sci-Fi",89 min,N/A,N/A,6.4,2013
Dive Bomber,"Drama, Romance, War",132 min,N/A,N/A,6.5,1941
The Sideshow,"Adventure, Drama, Romance",65 min,N/A,N/A,7.2,1928
Mystery Ranch,Western,56 min,N/A,N/A,5.5,1934
The Dark Past,"Crime, Film-Noir, Thriller",73 min,N/A,N/A,6.3,1948
The Pride of the Legion,"Action, Crime, Drama",70 min,N/A,N/A,5.6,1932
The People Under the Stairs,"Comedy, Horror, Mystery",102 min,"$24,204,154",57,6.4,1991
Blonde Savage,"Action, Adventure, Fantasy",62 min,N/A,N/A,4.8,1947
Three Amigos!,"Comedy, Western",104 min,"$39,246,734",52,6.5,1986
When I Came Home,Documentary,70 min,N/A,N/A,8.2,2006
The Strange Affair of Uncle Harry,"Drama, Film-Noir",80 min,N/A,N/A,6.7,1945
The Four Feathers,"Action, Adventure, Drama",132 min,"$18,306,166",49,6.5,2002
A Letter to Three Wives,"Comedy, Drama, Romance",103 min,N/A,N/A,7.7,1949
Burning Daylight,Crime,102 min,N/A,N/A,5.2,2010
Watchmen,"Action, Drama, Mystery",162 min,"$107,509,799",56,7.6,2009
Six Degrees of Separation,"Comedy, Drama, Mystery",112 min,"$6,405,918",72,6.8,1993
Wild Horse Mesa,"Drama, Western",61 min,N/A,N/A,6.1,1947
Bringing Up Baby,Comedy,102 min,N/A,91,7.8,1938
Homeward Bound: The Incredible Journey,"Adventure, Comedy, Drama",84 min,"$41,833,324",N/A,6.9,1993
I Can Do Bad All by Myself,"Comedy, Drama",113 min,"$51,733,921",55,4.7,2009
If I Were Free,"Drama, Romance",66 min,N/A,N/A,6.1,1933
Trippin',Comedy,94 min,"$9,017,070",N/A,5.3,1999
Short Time,"Action, Comedy, Crime",97 min,"$4,010,647",N/A,6.3,1990
Train to Tombstone,"Drama, Western",56 min,N/A,N/A,4.8,1950
The French Connection,"Action, Crime, Drama",104 min,"$51,700,000",94,7.7,1971
Michael Clayton,"Crime, Drama, Mystery",119 min,"$49,033,882",82,7.2,2007
No Country for Old Men,"Crime, Drama, Thriller",122 min,"$74,283,625",92,8.2,2007
Round-Up Time in Texas,"Drama, Music, Western",61 min,N/A,N/A,4.7,1937
The Confidence Man JP: The Movie,"Comedy, Crime",116 min,N/A,N/A,6.6,2019
You Were Never Really Here,"Crime, Drama, Thriller",89 min,"$2,528,078",84,6.7,2017
That Texas Jamboree,"Musical, Western",59 min,N/A,N/A,5.4,1946
Spy,"Action, Comedy",120 min,"$110,825,712",75,7.0,2015
Alexander's Ragtime Band,"Drama, Music, Musical",106 min,N/A,N/A,6.8,1938
The Silent Scream,"Horror, Mystery, Thriller",87 min,N/A,N/A,5.8,1979
Shadows in the Night,"Crime, Drama, Mystery",67 min,N/A,N/A,6.3,1944
Papillon,"Biography, Crime, Drama",151 min,"$53,267,000",58,8.0,1973
The Toy Tiger,Comedy,88 min,N/A,N/A,6.4,1956
51 Birch Street,Documentary,90 min,"$84,689",77,7.3,2005
There's Something About Mary,"Comedy, Romance",119 min,"$176,484,651",69,7.1,1998
Melvin and Howard,"Comedy, Drama",95 min,"$4,309,490",N/A,6.8,1980
Black Knight,"Adventure, Comedy, Fantasy",95 min,"$33,426,971",32,4.9,2001
Bloody Mama,"Crime, Drama",90 min,N/A,69,5.7,1970
Lightnin' in the Forest,"Action, Comedy, Crime",58 min,N/A,N/A,N/A,1948
Chimpanzee,"Documentary, Family",78 min,"$28,972,764",57,7.1,2011
Snowdrift at Bleath Gill,"Documentary, Short",10 min,N/A,N/A,7.3,1955
The Salton Sea,"Crime, Drama, Mystery",103 min,"$764,554",41,7.0,2002
Another Stakeout,"Comedy, Crime",108 min,"$20,208,496",53,5.6,1993
Love Never Dies,"Drama, Music, Musical",121 min,N/A,N/A,6.7,2012
Men Are Like That,"Comedy, Drama, Music",59 min,N/A,N/A,4.6,1930
Swept Away,"Comedy, Romance",89 min,"$598,645",18,3.6,2002
The Interpreter,"Crime, Mystery, Thriller",128 min,"$72,708,161",62,6.4,2005
Flying Romeos,Comedy,70 min,N/A,N/A,N/A,1928
Night of the Demon,Horror,96 min,N/A,N/A,4.7,1980
Holiday in Havana,"Comedy, Musical",73 min,N/A,N/A,6.0,1949
The Broken Star,Western,82 min,N/A,N/A,5.9,1956
Larceny in Her Heart,"Crime, Mystery, Romance",68 min,N/A,N/A,6.0,1946
Analyze That,"Comedy, Crime",96 min,"$32,130,627",37,5.9,2002
Hi Nanna,"Drama, Family, Romance",155 min,N/A,N/A,8.2,2023
The Deadly Trap,Thriller,96 min,N/A,N/A,5.5,1971
Black Dragons,"Thriller, War",64 min,N/A,N/A,4.3,1942
Camp Takota,Comedy,95 min,N/A,N/A,6.6,2014
Pardners,"Comedy, Western",90 min,"$7,920,000",N/A,6.1,1956
Honor Among Lovers,"Drama, Romance",75 min,N/A,N/A,6.5,1931
The Adventures of Huck Finn,"Adventure, Comedy, Drama",108 min,"$24,103,594",N/A,6.2,1993
The Millionaire Cowboy,Western,50 min,N/A,N/A,N/A,1924
Prairie Roundup,"Drama, Music, Western",55 min,N/A,N/A,8.0,1951
Hope and Glory,"Comedy, Drama, Romance",113 min,"$10,021,120",86,7.3,1987
Confessions of a Co-Ed,Drama,75 min,N/A,N/A,5.5,1931
Kismet,"Adventure, Musical, Fantasy",113 min,N/A,N/A,6.3,1955
Home of the Brave,"Action, Drama, War",106 min,"$51,708",42,5.6,2006
Tarzan and the Amazons,"Action, Adventure",76 min,N/A,N/A,6.2,1945
Here Comes the Boom,"Action, Comedy, Sport",105 min,"$45,290,318",40,6.4,2012
Blood Work,"Action, Crime, Drama",110 min,"$26,235,081",64,6.4,2002
Twelve Hours to Kill,"Crime, Drama",83 min,N/A,N/A,5.6,1960
Sword of the Avenger,"Adventure, Romance",76 min,N/A,N/A,5.4,1948
Immortals,"Action, Drama, Fantasy",110 min,"$83,504,017",46,6.0,2011
Colorado Pioneers,Western,57 min,N/A,N/A,6.7,1945
Love Is Better Than Ever,"Comedy, Romance",81 min,N/A,N/A,5.7,1952
The Atomic Kid,"Comedy, Sci-Fi",86 min,N/A,N/A,5.3,1954
Home Movies,"Animation, Comedy, Drama",34S min,N/A,N/A,8.2,1999–2004
The Big Bang Theory,"Comedy, Romance",22 min,N/A,N/A,8.1,2007–2019
The Forbidden Dance,"Drama, Music, Romance",97 min,"$1,823,154",N/A,3.9,1990
Kalamazoo?,Comedy,107 min,"$53,609",N/A,4.6,2006
You're Only Young Once,"Comedy, Family, Romance",78 min,N/A,N/A,6.6,1937
"C.Q.D.; or, Saved by Wireless; a True Story of the Wreck of the Republic","Short, Drama",N/A,N/A,N/A,N/A,1909
The Phantom of the Opera,"Drama, Musical, Romance",143 min,"$51,293,931",40,7.2,2004
Creature from the Black Lagoon,"Horror, Sci-Fi",79 min,N/A,68,6.9,1954
Cats,"Comedy, Drama, Family",110 min,"$27,166,770",32,2.8,2019
Off the Trolley,"Comedy, Short",7 min,N/A,N/A,6.5,1919
A Better Tomorrow 2,Drama,61 min,N/A,N/A,N/A,2011
Rachel and the Stranger,"Adventure, Comedy, Drama",93 min,"$395,000",N/A,7.0,1948
A Free Soul,"Crime, Drama, Romance",93 min,N/A,N/A,6.6,1931
Mexican Manhunt,"Crime, Mystery",71 min,N/A,N/A,6.2,1953
Space Ghost Coast to Coast,"Animation, Comedy, Sci-Fi",15 min,N/A,N/A,7.9,1993–2012
Man on Wire,"Documentary, Biography, Crime",94 min,"$2,962,242",89,7.7,2008
The Secret War of Harry Frigg,"Comedy, War",110 min,"$7,700,000",N/A,6.3,1968
Painted Angels,"Drama, Western",108 min,N/A,N/A,4.9,1998
The Command,"Action, Adventure, Drama",117 min,N/A,55,6.6,2018
A Civil Action,Drama,115 min,"$56,709,981",68,6.6,1998
Videodrome,"Horror, Sci-Fi, Thriller",87 min,"$2,120,439",60,7.2,1983
The Belle of Broadway,"Drama, Romance",60 min,N/A,N/A,7.0,1926
Flagpole Jitters,"Comedy, Short",16 min,N/A,N/A,6.8,1956
Voices Across the Divide,"Documentary, Biography, History, War",57 min,N/A,N/A,N/A,2013
Bell Boy 13,"Short, Comedy",44 min,N/A,N/A,5.8,1923
Aimee & Jaguar,"Biography, Drama, Romance",125 min,"$927,107",72,7.2,1999
Once in a Lifetime,"Comedy, Drama",105 min,N/A,N/A,7.1,2014
Sing Another Chorus,Musical,64 min,N/A,N/A,6.3,1941
Footsteps in the Dark,"Comedy, Crime, Mystery",96 min,N/A,N/A,6.7,1941
Gypsy,"Drama, Thriller",1 min,N/A,N/A,6.7,2017
The Apple Dumpling Gang Rides Again,"Comedy, Family, Western",88 min,"$20,931,111",37,6.0,1979
The Europeans,"Drama, Romance",90 min,N/A,64,6.1,1979
Such a Little Queen,"Comedy, Drama, Romance",N/A,N/A,N/A,N/A,1914
Janie Gets Married,"Comedy, Romance",89 min,N/A,N/A,6.0,1946
Blue Sky,"Drama, Romance",101 min,"$3,359,465",N/A,6.4,1994
Deception,"Crime, Drama, Mystery",107 min,"$4,598,506",31,6.0,2008
-But the Flesh Is Weak,Comedy,77 min,N/A,N/A,5.6,1932
Civil Brand,"Drama, Thriller, Crime",95 min,"$254,293",29,5.1,2002
Meddling Women,Drama,70 min,N/A,N/A,N/A,1924
Walking with Dinosaurs 3D,"Animation, Adventure, Comedy",87 min,"$36,076,121",37,5.2,2013
The Edge of Seventeen,"Comedy, Drama",104 min,"$14,431,633",77,7.3,2016
The Ring Two,"Horror, Mystery",110 min,"$76,231,249",44,5.4,2005
The Texas Chainsaw Massacre,Horror,98 min,"$80,571,655",38,6.2,2003
Forever My Girl,"Comedy, Drama, Music",108 min,"$16,376,066",36,6.6,2018
Navy Seals,"Action, Adventure, Thriller",113 min,"$25,069,101",38,5.5,1990
Clifford's Really Big Movie,"Animation, Adventure, Comedy",74 min,"$2,922,354",49,5.4,2004
Heartbreakers,"Comedy, Crime, Romance",123 min,"$40,336,607",47,6.2,2001
Babbitt,"Drama, Music",74 min,N/A,N/A,6.0,1934
While Paris Sleeps,Drama,67 min,N/A,N/A,6.5,1932
Shriek If You Know What I Did Last Friday the Thirteenth,"Comedy, Horror",86 min,N/A,N/A,4.0,2000
Skin Deep,"Comedy, Drama, Romance",101 min,"$19,674,852",43,6.1,1989
Marked Woman,"Crime, Film-Noir, Thriller",96 min,N/A,N/A,7.1,1937
Durango Valley Raiders,Western,55 min,N/A,N/A,5.7,1938
Strange Confession,"Crime, Drama, Horror",62 min,N/A,N/A,6.5,1945
When in Rome,"Comedy, Romance",91 min,"$32,680,633",25,5.5,2010
The Odd Couple,Comedy,105 min,"$44,527,234",86,7.6,1968
The Music of Chance,Drama,98 min,"$313,967",N/A,7.1,1993
Harlow,"Biography, Drama, Romance",125 min,N/A,N/A,5.5,1965
Mask of the Avenger,"Adventure, Drama, History",83 min,N/A,N/A,5.4,1951
House Calls,"Comedy, Drama, Romance",98 min,"$28,460,702",49,6.6,1978
Grand Old Girl,"Drama, Romance",72 min,N/A,N/A,5.4,1935
My Marriage,"Crime, Drama",73 min,N/A,N/A,5.7,1936
Yukon Flight,"Adventure, Drama, Mystery",57 min,N/A,N/A,5.0,1940
The Volga Boatman,"Drama, Romance",120 min,N/A,N/A,6.7,1926
Gay Purr-ee,"Animation, Comedy, Family",85 min,N/A,N/A,6.6,1962
Riders to the Stars,"Drama, Sci-Fi",81 min,N/A,N/A,5.4,1954
Real Genius,"Comedy, Romance, Sci-Fi",108 min,"$12,952,019",71,6.9,1985
John Carter,"Action, Adventure, Sci-Fi",132 min,"$73,078,100",51,6.6,2012
The Hi-Lo Country,"Drama, Romance, Western",114 min,"$166,082",N/A,6.1,1998
Three Brave Men,Drama,88 min,N/A,N/A,6.8,1956
Nightmare in Wax,Horror,96 min,N/A,N/A,3.9,1969
The Next Three Days,"Action, Crime, Drama",133 min,"$21,148,651",52,7.3,2010
The Squid and the Whale,"Comedy, Drama",81 min,"$7,372,734",82,7.3,2005
Violated Paradise,"Documentary, Drama",68 min,N/A,N/A,4.9,1963
Seven Angry Men,"Biography, History, Western",90 min,N/A,N/A,6.4,1955
Two Old Sparks,Short,N/A,N/A,N/A,N/A,1900
Problem Girls,"Crime, Drama, Mystery",71 min,N/A,N/A,5.3,1953
Heaven Is for Real,"Biography, Drama, Family",99 min,"$91,443,253",47,5.8,2014
Battle at Bloody Beach,"Drama, War",83 min,N/A,N/A,5.4,1961
Prince of Pirates,Adventure,80 min,N/A,N/A,5.3,1953
Anaconda,"Action, Adventure, Horror",89 min,"$65,885,767",37,4.9,1997
A Little Girl in a Big City,Drama,60 min,N/A,N/A,5.8,1925
Gambling Lady,"Drama, Mystery",66 min,N/A,N/A,6.5,1934
Devil Bat's Daughter,Horror,67 min,N/A,N/A,4.4,1946
Big Business Girl,"Comedy, Romance",75 min,N/A,N/A,5.9,1931
Holy Rollers,"Biography, Crime, Drama",89 min,"$303,064",51,5.9,2010
We Were Strangers,"Adventure, Drama, Film-Noir",106 min,N/A,N/A,6.6,1949
That's Dancing!,"Documentary, Musical",105 min,"$4,210,938",N/A,7.2,1985
The Wedding Planner,"Comedy, Romance",103 min,"$60,400,856",33,5.3,2001
Destination Wedding,"Comedy, Drama, Romance",87 min,N/A,46,6.0,2018
Under Crimson Skies,Adventure,60 min,N/A,N/A,3.9,1920
I Know What You Did Last Summer,"Horror, Mystery",101 min,"$72,586,134",52,5.8,1997
The Magic Cloak of Oz,"Short, Adventure, Family",38 min,N/A,N/A,5.2,1914
Honkytonk Man,"Comedy, Drama, Music",122 min,"$4,484,991",50,6.6,1982
Sideshow,Horror,74 min,N/A,N/A,4.9,2000
The Red Man and the Child,"Short, Action, Western",14 min,N/A,N/A,5.9,1908
Alice or The Last Escapade,"Drama, Fantasy, Mystery",93 min,N/A,N/A,6.7,1977
The Case of Sergeant Grischa,"Drama, History, Romance",91 min,N/A,N/A,7.4,1930
Lorna Doone,"Drama, Romance",180 min,N/A,N/A,6.9,2000
The Fan,"Action, Drama, Sport",116 min,"$18,626,419",32,5.9,1996
The Twinkle in God's Eye,"Comedy, Western",73 min,N/A,N/A,5.9,1955
Max Dugan Returns,"Comedy, Drama",98 min,"$17,613,720",N/A,6.7,1983
The Death Kiss,"Comedy, Crime, Drama",75 min,N/A,N/A,6.0,1932
I Spit on Your Grave 2,"Horror, Thriller",106 min,$809,N/A,5.7,2013
The Lineup,"Crime, Drama, Film-Noir",86 min,N/A,N/A,7.3,1958
The Big Score,Comedy,112 min,N/A,N/A,5.5,2016
"All This, and Heaven Too","Drama, Romance",141 min,N/A,N/A,7.4,1940
The Rage: Carrie 2,"Drama, Horror, Sci-Fi",104 min,"$17,762,705",42,4.8,1999
Sofia the First,"Animation, Adventure, Family",22 min,N/A,N/A,6.9,2012–2018
The U.S. vs. John Lennon,"Documentary, Biography, Music",99 min,"$1,109,146",64,7.3,2006
Cinerama Holiday,Documentary,119 min,"$26,160,000",N/A,7.3,1955
Trail of Kit Carson,Western,57 min,N/A,N/A,6.4,1945
A Dangerous Adventure,N/A,310 min,N/A,N/A,5.4,1922
Double Dynamite,"Adventure, Comedy, Music",80 min,N/A,N/A,5.9,1951
The Night of the Following Day,"Action, Crime, Drama",93 min,N/A,N/A,6.0,1969
Bluebeard's 8th Wife,"Comedy, Romance",60 min,"$215,000",N/A,7.5,1923
They Drive by Night,"Crime, Drama, Film-Noir",95 min,N/A,N/A,7.2,1940
Randy Rides Alone,"Action, Drama, Mystery",52 min,N/A,N/A,5.3,1934
Some Kind of Wonderful,"Drama, Romance",95 min,"$18,553,948",55,7.0,1987
The Man from Dakota,"Drama, History, War",75 min,N/A,N/A,5.6,1940
At the Earth's Core,"Adventure, Fantasy, Sci-Fi",89 min,N/A,32,5.0,1976
The Quick and the Dead,"Action, Drama, Romance",108 min,"$18,636,537",49,6.5,1995
Quentin Quail,"Animation, Family, Short",7 min,N/A,N/A,5.6,1946
Timbuktu,"Drama, War",96 min,"$1,076,075",92,7.1,2014
Ridin' the Wind,"Comedy, Drama, Romance",60 min,N/A,N/A,N/A,1925
Logan,"Action, Drama, Sci-Fi",137 min,"$226,277,068",77,8.1,2017
The Postman Didn't Ring,"Comedy, Romance",68 min,N/A,N/A,6.7,1942
Dick Turpin's Ride to York,"Adventure, Drama",80 min,N/A,N/A,N/A,1922
Why Me?,"Drama, Thriller",125 min,N/A,N/A,7.5,2015
Servants' Entrance,"Comedy, Music, Romance",88 min,N/A,N/A,7.1,1934
The Puppet Masters,"Horror, Sci-Fi, Thriller",109 min,"$8,647,042",N/A,5.9,1994
My Lady's Lips,"Crime, Drama",70 min,N/A,N/A,7.6,1925
The Last of the Duanes,"Drama, Western",62 min,N/A,N/A,5.5,1930
The Wonderful Wizard of Oz,"Adventure, Fantasy, Short",13 min,N/A,N/A,5.7,1910
The Prince of Thieves,"Action, Adventure, Drama",72 min,N/A,N/A,5.3,1948
Miraculous Journey,Adventure,83 min,N/A,N/A,6.4,1948
Between Heaven and Hell,"Drama, War",94 min,N/A,N/A,6.6,1956
Bowling for Columbine,"Documentary, Crime, Drama",120 min,"$21,576,018",72,8.0,2002
The Squeeze,"Action, Comedy, Crime",101 min,"$2,228,951",N/A,4.8,1987
The Love Girl,Comedy,50 min,N/A,N/A,N/A,1916
My Sister's Keeper,"Drama, Family",109 min,"$49,200,230",51,7.3,2009
The Story of Ruth,"Drama, History, Romance",132 min,N/A,N/A,6.6,1960
The Bandit's Waterloo,"Short, Action",12 min,N/A,N/A,5.6,1908
