Movie Title,Genre,Runtime (min),Box Office ($),Metacritic Rating,IMDb Rating,Release Year
Henry Aldrich Plays Cupid,"Comedy, Family",65 min,N/A,N/A,8.1,1944
Miss Annie Rooney,"Comedy, Drama, Romance",82 min,N/A,N/A,6.3,1942
Silent Hill,"Horror, Mystery",125 min,"$46,982,632",31,6.5,2006
Main Street After Dark,"Action, Crime, Drama",57 min,N/A,N/A,5.8,1945
The Masked Marvel,"Action, Adventure, Drama",197 min,N/A,N/A,7.2,1943
Tramp's Nap Interrupted,"Comedy, Fantasy, Short",N/A,N/A,N/A,N/A,1901
Monster a Go-Go,"Horror, Sci-Fi",68 min,N/A,N/A,1.8,1965
The Girl on the Bridge,"Crime, Drama",76 min,"$1,708,839",N/A,6.8,1951
Whirlwind Raiders,"Drama, Music, Western",54 min,N/A,N/A,6.7,1948
"Signed, Sealed, Delivered: One in a Million",Drama,84 min,N/A,N/A,7.4,2016
Hold Back the Dawn,"Drama, Romance",116 min,N/A,79,7.3,1941
Cars,"Animation, Adventure, Comedy",116 min,"$244,082,982",73,7.2,2006
Mister Dynamite,"Action, Adventure, Crime",67 min,N/A,N/A,5.8,1935
Cellar Dweller,"Fantasy, Horror",77 min,N/A,N/A,5.1,1987
Orphan: First Kill,"Crime, Drama, Horror",99 min,"$5,413,227",54,5.9,2022
The Mating Call,Drama,72 min,N/A,N/A,6.8,1928
Tropic Thunder,"Action, Comedy, War",107 min,"$110,515,313",71,7.1,2008
Off the Highway,"Short, Drama",22 min,N/A,N/A,6.6,2014
The Chase,"Action, Adventure, Comedy",94 min,"$7,924,955",N/A,5.8,1994
This Hero Stuff,"Western, Comedy",N/A,N/A,N/A,N/A,1919
File 113,Mystery,53 min,N/A,N/A,N/A,1932
The Ritz,Comedy,91 min,N/A,N/A,6.9,1976
Girl Crazy,"Comedy, Musical",99 min,N/A,84,6.8,1943
The Glass Slipper,"Family, Fantasy, Musical",93 min,N/A,N/A,6.4,1955
Frontier Outpost,"Drama, Music, Western",55 min,N/A,N/A,7.0,1950
Follow the Sun,"Biography, Drama, Romance",93 min,N/A,N/A,6.4,1951
Book Club,"Comedy, Drama, Romance",104 min,"$68,566,296",53,6.1,2018
Ashes of Vengeance,Drama,111 min,N/A,N/A,6.5,1923
Superstar: The Karen Carpenter Story,"Short, Biography, Drama",43 min,N/A,N/A,7.7,1987
The Desperados Are in Town,Western,73 min,N/A,N/A,6.4,1956
Rapid Fire Romance,"Action, Drama",50 min,N/A,N/A,N/A,1926
Honeymoon,"Drama, Fantasy, Horror",87 min,"$9,318",65,5.7,2014
Men with Wings,"Action, Drama, Romance",105 min,N/A,N/A,6.3,1938
Clean Slate,"Comedy, Crime, Drama",128 min,"$11,527",N/A,7.4,1981
